Winner,win_by,last_round,last_round_time,date_time,R_fighter,B_fighter,R_current_lose_streak,B_current_lose_streak,R_current_win_streak,B_current_win_streak,R_wins,B_wins,R_age,B_age,R_total_title_bouts,B_total_title_bouts,R_win_by_KO/TKO,B_win_by_KO/TKO,R_KD,B_KD,R_SIG_STR._landed,R_SIG_STR._attempted,B_SIG_STR._landed,B_SIG_STR._attempted,R_TOTAL_STR._landed,R_TOTAL_STR._attempted,B_TOTAL_STR._landed,B_TOTAL_STR._attempted,R_TD_landed,R_TD_attempted,B_TD_landed,B_TD_attempted,R_total_no._fights,B_total_no._fights,R_SIG_STR._attempted_total,R_SIG_STR._landed_total,R_TOTAL_STR._attempted_total,R_TOTAL_STR._landed_total,R_TD_attempted_total,R_TD_landed_total,B_SIG_STR._attempted_total,B_SIG_STR._landed_total,B_TOTAL_STR._attempted_total,B_TOTAL_STR._landed_total,B_TD_attempted_total,B_TD_landed_total,fight_time,R_fight_time_total,B_fight_time_total,R_SIG_STR._faced_total,B_SIG_STR._faced_total,R_SIG_STR._defended_total,B_SIG_STR._defended_total,R_TOTAL_STR._faced_total,B_TOTAL_STR._faced_total,R_TOTAL_STR._defended_total,B_TOTAL_STR._defended_total,R_TD_faced_total,B_TD_faced_total,R_TD_defended_total,B_TD_defended_total,R_KD_total,B_KD_total,R_finish,B_finish,R_finish_total,B_finish_total,R_SIG_STR._probability,R_SIG_STR._defence_probability,R_SIG_STR._rate,R_TOTAL_STR._probability,R_TOTAL_STR._defence_probability,R_TOTAL_STR._rate,R_TD_probability,R_TD_defence_probability,R_TD_rate,R_KD_rate,R_win_probability,R_finish_rate,B_SIG_STR._probability,B_SIG_STR._defence_probability,B_SIG_STR._rate,B_TOTAL_STR._probability,B_TOTAL_STR._defence_probability,B_TOTAL_STR._rate,B_TD_probability,B_TD_defence_probability,B_TD_rate,B_KD_rate,B_win_probability,B_finish_rate,R_PageRank,B_PageRank,R_Katz,B_Katz,R_Betweeness,B_Betweeness,R_Closeness,B_Closeness,R_HarmonicScore,B_HarmonicScore
1.0,Submission,3,172,2010-03-31,Kenny Florian,Takanori Gomi,0.0,0.0,1.0,0.0,10.0,0.0,33.0,31.0,3.0,0.0,2.0,0.0,0,0,51,186,20,116,74,210,20,116,1,2,0,1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,,,,,,,,,,,0.7692307692307693,,,,,,,,,,,,,,0.02500000000000001,0.02500000000000001,0.15793491986899905,0.15793491986899905,0.0,0.0,0.01282051282051282,0.01282051282051282,0.5,0.5
1.0,KO/TKO,1,39,2010-03-31,Roy Nelson,Stefan Struve,0.0,0.0,1.0,3.0,1.0,3.0,33.0,22.0,1.0,0.0,1.0,0.0,1,0,9,15,2,5,9,15,2,5,0,0,0,0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,0.75,,0.02500000000000001,0.02500000000000001,0.15793491986899905,0.15793491986899905,0.0,0.0,0.01282051282051282,0.01282051282051282,0.5,0.5
0.0,KO/TKO,2,29,2010-03-31,Nate Quarry,Jorge Rivera,0.0,0.0,2.0,2.0,7.0,6.0,38.0,38.0,1.0,0.0,5.0,3.0,0,3,19,71,29,65,19,72,58,104,0,1,0,0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,,,,,,,,,,,0.7777777777777778,,,,,,,,,,,,0.5454545454545454,,0.02500000000000001,0.02500000000000001,0.15793491986899905,0.15793491986899905,0.0,0.0,0.01282051282051282,0.01282051282051282,0.5,0.5
1.0,Decision - Unanimous,3,300,2010-03-31,Ross Pearson,Dennis Siver,0.0,0.0,2.0,3.0,2.0,4.0,25.0,31.0,1.0,0.0,0.0,3.0,0,0,54,159,39,225,64,170,39,228,1,1,2,5,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,0.5714285714285714,,0.02500000000000001,0.02500000000000001,0.15793491986899905,0.15793491986899905,0.0,0.0,0.01282051282051282,0.01282051282051282,0.5,0.5
1.0,Decision - Unanimous,3,300,2010-03-31,Andre Winner,Rafaello Oliveira,0.0,0.0,1.0,1.0,1.0,1.0,28.0,28.0,1.0,0.0,1.0,0.0,0,0,61,198,52,146,74,211,64,159,0,0,0,6,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,0.5,,,,,,,,,,,,0.5,,0.02500000000000001,0.02500000000000001,0.15793491986899905,0.15793491986899905,0.0,0.0,0.01282051282051282,0.01282051282051282,0.5,0.5
1.0,Decision - Split,3,300,2010-03-31,Jacob Volkmann,Ronys Torres,2.0,1.0,0.0,0.0,0.0,0.0,29.0,34.0,0.0,0.0,0.0,0.0,0,0,24,57,20,50,79,125,32,63,5,6,3,4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.02500000000000001,0.02500000000000001,0.15793491986899905,0.15793491986899905,0.0,0.0,0.01282051282051282,0.01282051282051282,0.5,0.5
0.0,Decision - Unanimous,3,300,2010-03-31,Rob Emerson,Nik Lentz,0.0,1.0,1.0,0.0,3.0,1.0,28.0,25.0,0.0,0.0,1.0,0.0,1,0,24,74,46,96,45,96,79,133,0,1,4,14,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,0.5,,,,,,,,,,,,0.5,,0.02500000000000001,0.02500000000000001,0.15793491986899905,0.15793491986899905,0.0,0.0,0.01282051282051282,0.01282051282051282,0.5,0.5
0.0,KO/TKO,1,253,2010-03-31,Caol Uno,Gleison Tibau,4.0,0.0,0.0,1.0,3.0,6.0,34.0,26.0,2.0,0.0,1.0,0.0,0,1,6,28,22,59,10,34,26,65,0,0,1,1,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,0.6,,0.02500000000000001,0.02500000000000001,0.15793491986899905,0.15793491986899905,0.0,0.0,0.01282051282051282,0.01282051282051282,0.5,0.5
1.0,KO/TKO,1,289,2010-03-31,Gerald Harris,Mario Miranda,0.0,0.0,1.0,0.0,1.0,0.0,30.0,30.0,0.0,0.0,1.0,0.0,2,1,17,37,16,40,17,37,33,63,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.02500000000000001,0.02500000000000001,0.15793491986899905,0.15793491986899905,0.0,0.0,0.01282051282051282,0.01282051282051282,0.5,0.5
1.0,Decision - Unanimous,3,300,2010-03-31,Charlie Brenneman,Jason High,0.0,0.0,0.0,0.0,0.0,0.0,29.0,28.0,0.0,0.0,0.0,0.0,0,0,33,53,12,31,95,116,25,45,6,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.02500000000000001,0.02500000000000001,0.15793491986899905,0.15793491986899905,0.0,0.0,0.01282051282051282,0.01282051282051282,0.5,0.5
